"Tahun","Minggu","Negeri","Daerah/Zon/PBT","Lokaliti","Jumlah Kes Terkumpul","Tempoh Wabak Berlaku (Hari)","latitude","longitude"
2015,5,"Selangor","Petaling","Seksyen 4 ( Teres B : Jln 4/4 - 4/7 )",6,44,3.058407,101.636765
2015,5,"Selangor","Petaling","Usj 1/1",16,44,3.058408,101.636767
2015,5,"Selangor","Petaling","Usj 11/2",16,44,3.058409,101.636769
2015,5,"Selangor","Petaling","Usj 2/2",17,44,3.113117,101.815683
2015,5,"Perak","Kinta","Tmn Tasek Mewah",10,43,3.113118,101.815693
2015,5,"Selangor","Gombak","Kg Sg Kertas",8,43,2.975147,101.783915
2015,5,"Selangor","Petaling","Bl Pju 6A Puncak Damansara Kondo",23,43,3.113117,101.815673
2015,5,"Selangor","Petaling","Usj 11/4",10,43,3.048069,101.639553
2015,5,"Selangor","Petaling","Jgn Guna - Seksyen 8 Teres A (Jln 8/1 - Jln 8/4B)",7,42,3.198303,101.599919
2015,5,"Selangor","Petaling","Seksyen 19 (Teres B : Jln 19/4 - 19/7B)",7,41,3.052035,101.643996
2015,5,"Selangor","Petaling","Seksyen 28 ( Flat A : Blok 1, 3, 5, 7, 9, 11, 13, 15, 17, 19 )",9,41,3.058406,101.636762
2015,5,"Selangor","Petaling","Kt Ss 9A 2 ( Jln 9A/1,2,4,13,14,15,16,18,19 )",8,41,3.058407,101.636765
2015,5,"Selangor","Petaling","Taman Lestari Putra 4",7,41,3.058408,101.636767
2015,5,"Selangor","Petaling","Usj 1 (Angsana Appt)",15,41,3.058409,101.636769
2015,5,"Selangor","Petaling","Du Ss 2( 3 )",8,41,3.113117,101.815683
2015,5,"P. Pinang","Seberang Perai Tengah","Lorong Kota Permai",28,40,3.113118,101.815693
2015,5,"Selangor","Gombak","Flat Pinggiran Bt Caves",7,40,2.975147,101.783915
2015,5,"Selangor","Gombak","Tmn Bkt Indah Fasa 1",15,40,3.113117,101.815673
2015,5,"Selangor","Gombak","Tmn Rawang Perdana",15,40,3.048069,101.639553
2015,5,"Selangor","Hulu Langat","Permai Puteri Condo Taman Dato Ahmad Razali",9,40,3.198303,101.599919
2015,5,"Selangor","Petaling","Putra Height 2 ( Jln Putra Bistari 2/3 )",9,40,3.052035,101.643996
2015,5,"Selangor","Petaling","Seksyen 6 (Flat A : Blok 3 - 8)",7,40,3.058406,101.636762
2015,5,"Selangor","Petaling","Seksyen U16 ( Denai Alam Teres E : Jln U16/58 - U16/59 )",9,39,3.058407,101.636765
2015,5,"Selangor","Petaling","Du Ss 22 ( 5 )",5,39,3.058408,101.636767
2015,5,"Selangor","Petaling","Kd Pju 5 Seksyen 4 Gugusan Mawar",9,39,3.058409,101.636769
2015,5,"Selangor","Petaling","Seksyen U6 ( Kg Melayu Subang : Jln Pkns )",7,39,3.113117,101.815683
2015,5,"Melaka","Melaka Tengah","Taman Tasik Utama",6,39,3.113118,101.815693
2015,5,"Perak","Kinta","Bdr Baru Tambun",7,38,2.975147,101.783915
2015,5,"Selangor","Gombak","Sierramas Sg Buloh",7,38,3.113117,101.815673
2015,5,"Selangor","Petaling","Seksyen 27 ( Teres D : Jln 27/54 - 27/87 )",10,38,3.048069,101.639553
2015,5,"Selangor","Petaling","Du Ss 21 ( 1 )",10,38,3.198303,101.599919
2015,5,"Selangor","Petaling","Taman Puchong Utama Court 2",17,38,3.052035,101.643996
2015,5,"Selangor","Sepang","Kolej 17,Upm Serdang",37,38,3.128331,101.618127
2015,5,"Perak","Kinta","Rapat Setia",14,37,3.074107,101.492219
2015,5,"Selangor","Gombak","Tmn Tun Perak",6,37,3.074107,101.492219
2015,5,"Selangor","Hulu Langat","Appt Taman Tenaga",10,37,3.074107,101.492219
2015,5,"Selangor","Hulu Langat","Jalan Semenyih Mewah 1-3 Taman Semenyih Mewah",16,37,3.155076,101.593722
2015,5,"Selangor","Petaling","Seksyen U2 Teres E",13,37,3.089795,101.647281
2015,5,"Selangor","Petaling","Du Ss 2 ( 6 )",7,37,3.113117,101.815673
2015,5,"Selangor","Petaling","Dun Bg Seksyen 14 Teres A : Jln 14/1 - Jln 14/28",21,37,3.060047,101.584687
2015,5,"Selangor","Petaling","Bandar Bukit Puchong 3",13,37,3.188612,101.604747
2015,5,"Selangor","Petaling","Ss 12/3",4,37,3.13281,101.748025
2015,5,"Selangor","Petaling","Bl Pju 10 Indah Kondo",7,37,3.114994,101.811318
2015,5,"P. Pinang","Timur Laut","Taman Teguh",10,36,3.058404,101.636764
2015,5,"Perak","Kinta","Rumah Pangsa Sri Kepayang",21,36,3.058405,101.636763
2015,5,"Selangor","Hulu Langat","Jalan Cempaka 24-31 Taman Cempaka",4,36,3.058406,101.636762
2015,5,"Selangor","Kuala Selangor","Seri Pristana ( Fasa 1 )",13,36,3.058407,101.636765
2015,5,"Perak","Kinta","Tmn Jati",8,35,3.058408,101.636767
2015,5,"Perak","Kinta","Tmn Pertama",11,35,3.058409,101.636769
2015,5,"Selangor","Hulu Langat","Appt Taman Anggerik Villa 2",8,35,3.113117,101.815683
2015,5,"Selangor","Petaling","Sri Kembangan 7",5,35,3.113118,101.815693
2015,5,"Selangor","Sepang","Cyberia Smarthome",23,35,2.975147,101.783915
2015,5,"P. Pinang","Timur Laut","Kampung Rawa",4,35,3.113117,101.815673
2015,5,"Perak","Kinta","Tmn Ehsan",5,35,3.048069,101.639553
2015,5,"Selangor","Gombak","Appt Julia",6,34,3.198303,101.599919
2015,5,"Selangor","Hulu Langat","Jalan 15/3 Seksyen 15 Bandar Baru Bangi",10,34,3.052035,101.643996
